城市 区 方位 房屋名 大小 租赁方式 朝向 月租 计费方式 几室 几厅 几卫 入住 租期 看房 所在楼层 总楼高 电梯 车位 用水 用电 燃气 供暖 
3 6 15 1225 80 1 2 2800 1 2 1 1 2 12 5 2 14 1 0 0 0 0 0
3 10 29 141 40 1 2 6200 1 1 0 1 2 12 5 2 5 1 0 1 1 2 0
3 10 35 1042 52 1 2 6500 1 2 1 1 2 12 5 2 6 1 0 1 1 2 2
3 9 98 1437 19 2 2 1504 1 5 0 1 2 0 4 1 6 0 0 0 0 0 0
3 10 46 186 63 1 2 6200 1 2 1 1 2 12 5 2 6 1 0 1 1 1 0
3 4 132 1185 16 2 2 2200 3 4 1 2 2 12 4 3 34 2 0 1 1 1 0
3 9 44 1004 90 1 2 3300 0 2 1 1 1 0 5 3 6 1 0 1 1 1 0
3 1 75 1404 153 1 2 14900 1 3 2 1 1 36 5 2 32 2 0 1 1 1 0
3 12 164 450 59 1 2 8800 1 1 1 1 2 24 5 1 31 2 0 1 1 2 2
3 11 24 924 41 1 2 3600 1 1 1 1 1 24 5 3 6 1 0 1 1 1 0
3 10 45 564 56 1 2 6000 1 1 1 1 1 24 2 1 18 2 0 1 1 2 2
3 9 73 110 40 1 2 2800 0 1 2 1 2 0 5 1 5 1 0 1 1 1 0
3 6 134 1572 16 1 3 1200 3 1 0 1 2 12 4 3 3 0 0 0 0 0 0
3 6 53 597 18 2 2 1600 1 3 1 1 2 12 4 2 18 1 0 0 0 0 0
3 10 68 28 58 1 2 7000 1 1 1 1 2 12 5 1 23 2 0 1 1 1 0
3 4 16 336 34 1 2 4000 0 1 1 1 1 0 5 3 6 1 0 1 1 1 0
3 9 112 1233 35 1 2 3000 3 1 1 1 2 24 4 2 26 1 2 2 2 1 1
3 9 76 1330 65 1 2 3500 1 2 1 1 2 12 5 2 6 1 0 1 1 1 0
3 10 160 1283 64 1 2 4800 1 2 1 1 2 12 5 3 6 1 0 1 1 1 0
3 6 63 792 52 1 2 2500 0 2 1 1 2 0 5 1 6 1 0 1 1 1 0
3 4 132 1185 28 2 6 2900 3 4 1 2 2 12 4 3 34 2 0 1 1 1 0
3 12 164 8 72 1 2 9500 1 1 2 1 2 12 5 1 34 2 0 1 1 2 2
3 10 129 1339 28 2 2 3000 3 3 0 3 2 12 4 3 25 2 0 1 1 2 0
3 6 91 338 98 1 2 3000 0 3 1 1 2 0 5 2 27 1 0 1 1 0 0
3 12 20 762 15 2 2 4200 3 4 2 2 2 12 4 3 30 0 2 1 1 2 0
3 9 65 144 118 1 2 2400 0 3 2 2 2 0 5 3 16 2 0 1 1 1 0
3 10 96 578 54 1 2 4600 0 2 0 1 2 0 5 2 6 1 0 1 1 1 0
3 15 100 395 53 1 2 1700 0 2 1 1 2 0 1 3 5 1 0 1 1 2 0
3 4 151 839 39 1 2 4200 1 1 0 1 2 12 5 2 6 1 0 1 1 2 0
3 16 21 856 15 2 2 1200 3 3 1 1 2 12 4 3 6 1 0 1 1 1 0
3 10 29 486 41 1 2 5500 0 1 1 1 2 0 5 3 7 1 0 1 1 2 0
3 16 144 224 39 1 2 2200 0 1 1 1 2 0 5 2 6 1 0 1 1 2 2
3 16 21 742 8 2 4 1530 1 3 1 2 2 12 4 3 18 2 0 1 1 2 0
3 16 21 742 18 2 2 1700 3 3 1 1 2 12 4 2 17 1 0 1 1 1 0
3 4 17 37 89 1 2 4500 1 2 2 1 2 0 5 1 5 1 0 1 1 1 0
3 9 130 1020 79 1 2 2500 0 2 1 1 2 0 5 2 14 2 0 1 1 2 2
3 16 140 819 18 2 4 1800 3 5 0 2 2 12 4 1 12 2 2 1 1 2 0
3 15 100 1517 15 2 2 1100 3 4 1 2 2 12 4 2 20 0 0 0 0 0 0
3 9 44 10 64 1 2 3800 1 1 1 1 2 24 5 3 16 2 0 1 1 2 2
3 10 29 748 54 1 2 6900 1 1 1 1 2 12 5 3 23 2 0 1 1 2 2
3 10 46 1296 66 1 6 6000 1 2 1 1 2 36 2 1 6 1 0 1 1 2 2
3 6 83 997 140 1 0 3000 0 4 2 3 0 0 0 3 4 1 0 1 1 1 0
3 9 51 373 35 1 2 3800 0 1 0 1 2 0 5 2 6 1 0 1 1 1 0
3 11 24 1070 18 2 6 2600 3 4 1 1 2 12 4 3 16 2 0 1 1 2 0
3 12 59 312 51 1 1 7500 1 1 1 1 2 12 5 2 29 2 0 1 1 1 1
3 13 148 293 14 2 4 1580 3 3 1 1 2 24 4 2 15 1 0 2 2 1 0
3 10 46 1578 34 1 2 4700 1 1 1 1 2 24 5 2 6 1 0 1 1 2 2
3 7 102 1513 12 2 2 3600 3 5 1 2 2 12 4 3 28 0 0 0 0 0 0
3 4 159 702 12 2 2 2050 3 5 1 1 2 12 4 1 28 0 0 0 0 0 0
3 14 41 836 48 1 3 1900 0 1 1 1 2 0 5 3 3 1 0 2 2 1 0
3 10 46 383 64 1 2 5500 1 2 1 1 2 24 5 3 4 1 0 1 1 2 2
3 2 103 365 12 2 2 2400 3 4 1 1 2 12 4 1 23 0 0 0 0 0 0
3 10 68 988 47 1 2 5000 0 1 1 1 2 0 5 3 5 1 0 1 1 1 0
3 17 67 514 7 2 4 1290 1 4 1 3 2 12 4 2 11 1 0 1 1 2 0
3 1 71 346 142 1 2 13000 1 3 2 2 2 12 5 2 30 2 0 1 1 1 0
3 4 132 1185 23 2 2 3200 3 4 2 2 2 12 4 2 34 2 0 1 1 1 0
3 2 90 1450 77 1 2 4000 0 2 1 1 2 0 5 2 35 1 0 0 0 0 0
3 12 20 1605 46 1 4 7000 3 1 1 1 2 24 4 1 22 2 2 1 1 2 2
3 10 160 1533 75 1 2 4900 0 2 1 1 2 0 5 1 6 1 0 1 1 1 0
3 4 121 1038 36 1 2 3700 0 1 1 1 2 0 5 2 6 1 0 1 1 1 0
3 16 126 448 7 2 4 1790 1 4 1 2 2 12 4 1 13 2 2 1 1 2 0
3 17 94 250 55 1 2 2000 0 1 1 1 2 0 5 3 29 1 0 2 2 1 0
3 16 21 298 15 2 2 1050 3 2 1 1 2 12 4 2 6 1 0 1 1 1 0
3 1 163 39 67 1 2 10000 1 1 2 1 2 24 5 1 32 2 0 1 1 1 0
3 6 48 521 74 1 2 2500 0 2 1 1 2 0 5 3 6 1 0 1 1 1 0
3 16 21 298 18 2 2 1020 3 2 1 1 2 24 4 2 5 1 0 1 1 1 0
3 1 163 681 136 1 2 10000 0 3 2 2 2 0 5 1 24 2 0 2 2 1 2
3 10 68 791 10 2 2 2980 3 5 2 2 2 12 4 2 30 2 2 1 1 2 0
3 1 28 24 68 1 2 10000 1 2 1 1 2 0 5 3 32 2 0 1 1 2 0
3 2 90 1450 56 1 2 3100 0 1 1 1 2 0 5 2 30 1 0 0 0 0 0
3 10 38 522 90 1 2 6600 0 2 2 1 1 0 5 3 35 2 0 1 1 1 0
3 6 91 1155 94 1 2 2800 0 3 2 1 1 0 5 3 6 1 0 1 1 1 0
3 10 45 76 62 1 2 6300 1 2 1 1 2 12 5 1 6 1 0 1 1 2 2
3 12 20 1605 40 1 2 6000 3 1 1 1 2 12 4 2 22 2 2 1 1 2 2
3 10 29 1273 60 1 2 6100 1 2 0 1 2 12 5 3 7 1 0 1 1 1 0
3 16 21 1208 26 1 6 1560 3 1 1 1 2 12 4 1 22 1 0 1 1 1 0
3 13 146 378 59 1 2 2200 1 2 1 1 1 12 5 2 6 1 0 1 1 1 0
3 10 156 1149 50 1 2 6700 0 1 2 1 2 0 5 2 32 2 0 1 1 2 2
3 14 41 111 15 2 2 1500 3 3 1 1 2 12 4 2 18 1 0 0 0 0 0
3 9 136 120 25 2 2 1700 3 4 1 2 2 12 4 2 3 0 2 0 0 0 2
3 1 163 62 98 1 2 9900 1 2 2 1 2 12 5 3 29 2 0 1 1 2 0
3 4 47 764 32 1 2 3500 0 1 0 1 2 0 5 2 5 1 0 1 1 1 0
3 10 68 136 55 1 2 6300 1 2 1 1 2 24 5 3 7 1 0 1 1 1 0
3 16 126 1371 30 1 4 2000 0 1 0 1 2 0 5 3 13 2 0 1 1 1 0
3 12 145 466 33 1 6 7500 0 1 1 1 2 0 5 2 5 1 0 1 1 1 0
3 10 160 880 111 1 2 7000 0 3 2 1 2 0 5 1 16 2 0 1 1 1 0
3 4 89 1043 17 2 2 2400 1 3 1 2 2 12 4 3 6 1 2 1 1 2 0
3 4 101 478 18 2 4 1800 3 4 1 1 2 12 4 1 17 2 2 1 1 1 2
3 12 59 513 68 1 8 9000 1 2 1 1 2 36 5 2 6 1 0 1 1 1 0
3 4 101 979 62 1 2 4600 0 1 1 1 2 0 5 3 6 1 0 1 1 1 0
3 10 46 1388 66 1 2 6800 1 2 1 1 2 12 5 2 6 1 0 1 1 1 0
3 4 16 682 26 1 4 3400 0 1 1 1 1 0 5 3 5 1 0 1 1 1 0
3 6 48 1534 48 1 2 2700 0 2 1 2 2 0 5 3 11 2 0 1 1 1 2
3 9 142 307 20 2 4 1950 3 4 1 4 2 12 4 1 6 0 2 0 0 0 0
3 5 72 1076 221 1 2 3000 0 3 3 2 2 0 5 -2 1 1 0 1 1 1 0
3 1 163 952 89 1 2 11000 1 2 2 1 2 36 5 1 33 2 0 1 1 2 2
3 6 63 1545 82 1 2 3500 0 3 1 1 2 0 5 2 5 1 0 1 1 1 0
3 9 30 1357 16 2 2 1300 3 2 1 1 2 12 4 3 6 1 0 1 1 1 0
3 9 73 16 24 1 2 1900 5 1 0 1 2 12 4 1 11 2 2 1 1 2 0
3 13 149 370 69 1 2 2100 0 2 1 1 2 0 5 1 18 2 0 0 0 0 0
3 6 53 597 16 2 2 1600 1 3 1 1 2 12 4 2 18 1 2 1 1 2 2
3 2 103 1193 30 1 2 4000 0 1 1 1 2 0 5 1 6 1 0 1 1 2 0
3 10 46 441 61 1 2 6500 0 3 1 1 2 0 5 2 6 1 0 1 1 2 2
3 10 68 1049 48 1 2 6300 3 2 1 1 2 24 5 3 7 1 0 1 1 2 0
3 14 77 801 9 2 4 1530 1 3 1 1 2 12 4 3 6 1 0 1 1 2 0
3 4 147 804 46 1 2 4500 0 1 1 1 2 0 5 2 7 1 0 1 1 2 2
3 6 91 1314 90 1 2 2800 0 2 2 1 2 0 5 1 14 1 0 1 1 1 0
3 10 29 357 34 1 2 5300 1 1 0 1 2 36 5 3 6 1 0 1 1 2 2
3 7 66 1307 15 2 2 3300 3 5 2 3 2 12 4 1 25 2 0 1 1 2 0
3 9 154 1030 10 2 1 1650 3 4 1 2 2 12 4 3 6 0 1 0 0 0 0
3 7 66 1307 15 2 2 3300 3 5 2 3 2 12 4 1 25 2 0 1 1 2 0
3 10 46 1578 59 1 1 6500 1 2 0 1 2 24 5 3 6 1 0 1 1 2 2
3 12 145 294 54 1 2 7400 1 1 2 1 2 12 5 3 6 1 0 1 1 1 0
3 1 75 483 14 2 2 3700 3 5 1 2 2 12 4 2 32 2 2 1 1 1 0
3 6 91 1314 90 1 2 3000 0 2 2 1 2 0 5 3 14 1 0 1 1 1 0
3 10 45 564 56 1 2 6500 1 1 1 1 2 24 5 1 18 2 0 1 1 2 2
3 4 89 1139 10 2 3 2230 1 4 1 2 2 12 4 1 16 0 0 0 0 0 0
3 14 158 745 12 2 2 1590 1 3 1 1 2 12 4 2 6 1 0 1 1 2 0
3 16 126 53 30 1 4 2600 0 1 0 1 2 0 5 1 13 2 0 1 1 1 0
3 1 163 952 90 1 2 12000 1 2 2 1 2 12 5 3 35 2 0 1 1 2 2
3 12 59 390 40 1 4 8500 0 1 1 1 2 0 5 2 8 2 0 1 1 2 0
3 4 121 582 48 1 2 4300 0 1 1 1 2 0 5 3 6 1 0 1 1 1 0
3 10 68 260 36 1 2 5800 1 1 1 1 2 12 5 2 6 1 0 1 1 1 0
3 6 83 183 90 1 2 2000 0 2 2 1 2 0 5 3 4 1 0 1 1 1 0
3 9 73 843 70 1 2 3500 0 2 1 1 2 0 5 2 15 2 0 1 1 1 0
3 9 30 92 18 2 2 1550 3 3 1 3 2 12 4 2 18 0 0 0 0 0 0
3 14 131 146 18 2 2 1630 3 1 1 1 2 12 4 1 18 2 2 1 1 2 0
3 9 142 1560 18 2 4 1900 3 3 1 3 2 12 4 3 6 0 0 0 0 0 0
3 16 8 1087 26 1 2 2600 0 1 1 1 2 0 5 2 4 1 0 2 2 1 0
3 12 164 1028 38 1 6 5380 3 1 1 1 2 12 4 3 20 1 2 1 1 2 2
3 11 143 816 35 1 2 3300 0 1 1 1 2 0 5 3 6 1 0 1 1 1 0
3 10 29 550 41 1 2 5400 1 1 1 1 1 36 5 1 6 1 0 1 1 2 2
3 17 67 48 10 2 4 1190 1 4 1 2 2 12 4 3 18 2 2 1 1 2 0
3 9 44 98 100 1 2 3600 1 2 2 1 2 24 5 2 14 2 0 1 1 1 0
3 10 3 1459 30 1 2 4700 1 1 1 1 2 12 5 1 6 1 0 1 1 2 0
3 9 44 1428 55 1 2 3800 0 1 1 1 1 0 5 2 12 2 0 1 1 1 0
3 1 163 681 72 1 2 10000 0 1 2 1 2 0 5 1 24 2 0 2 2 1 2
3 10 46 907 55 1 2 5700 0 2 1 1 2 0 5 3 6 1 0 1 1 2 2
3 17 22 549 10 2 4 1160 1 4 1 1 2 12 4 1 5 1 0 1 1 2 0
3 16 21 874 25 1 1 1550 3 1 1 1 2 0 4 3 6 1 2 2 2 1 0
3 10 46 1496 58 1 2 5500 0 1 1 1 1 0 5 3 6 1 0 1 1 1 0
3 4 89 415 42 1 2 3700 0 1 1 1 2 0 5 2 6 1 0 1 1 1 0
3 10 3 1588 48 1 2 4800 1 1 1 1 2 0 5 2 6 1 0 1 1 1 0
3 16 140 43 11 2 2 1500 3 4 1 2 2 12 4 3 12 2 2 1 1 1 2
3 9 30 1357 16 2 2 2000 3 4 0 3 2 24 4 2 6 2 0 1 1 1 0
3 4 47 734 25 1 2 3300 3 1 1 1 2 12 4 2 6 2 2 1 1 2 0
3 10 68 1049 48 1 2 6000 1 2 0 1 2 12 5 2 7 1 0 1 1 2 0
3 4 121 119 77 1 2 4600 0 2 1 1 2 0 5 2 6 1 0 1 1 1 0
3 15 100 108 85 1 2 1900 0 2 2 1 1 0 5 3 6 1 0 1 1 1 0
3 1 163 1313 63 1 2 12500 1 1 2 1 2 12 2 2 30 2 0 1 1 2 2
3 10 29 956 40 1 2 4800 0 1 1 1 2 0 5 3 6 1 0 1 1 2 0
3 1 71 655 94 1 8 13000 1 2 2 1 2 12 5 3 37 2 0 1 1 2 2
3 9 44 725 52 1 2 3200 0 2 1 1 2 0 5 3 5 1 0 1 1 1 0
3 13 122 489 15 2 4 1450 3 4 1 2 2 12 4 2 14 2 0 1 1 2 0
3 6 32 1372 20 1 2 1500 3 1 0 1 2 24 4 3 4 0 0 0 0 0 0
3 1 163 1151 133 1 8 11500 1 2 2 1 2 24 5 2 32 2 0 1 1 2 0
3 11 24 1262 41 1 2 3600 0 1 1 1 2 0 5 3 4 1 0 1 1 2 2
3 11 113 1274 42 1 2 4000 0 1 1 1 2 0 1 2 6 1 0 1 1 1 0
3 16 140 1487 19 2 2 1758 3 4 1 2 2 12 4 2 19 2 0 1 1 1 0
3 16 21 1245 22 2 2 1700 3 3 1 1 2 12 4 1 11 2 1 1 1 1 0
3 12 59 312 60 1 2 9500 1 1 1 1 2 24 5 2 29 2 0 1 1 1 1
3 4 147 1460 48 1 3 3900 0 1 1 1 2 0 5 3 20 2 0 2 2 1 0
3 13 138 36 72 1 2 2000 0 2 2 1 2 0 5 3 6 1 0 1 1 1 0
3 4 89 1148 20 2 4 2688 3 3 2 1 2 12 5 3 18 2 0 1 1 2 0
3 1 110 88 54 1 2 15000 0 1 1 2 2 0 1 3 4 1 0 1 1 1 0
3 6 32 1364 15 1 4 1520 3 1 0 1 2 0 4 2 3 0 0 0 0 0 0
3 9 98 147 51 1 2 3000 1 2 0 1 2 12 5 2 5 1 0 1 1 2 2
3 13 93 275 25 2 2 1450 1 3 1 1 2 12 4 3 1 1 0 1 1 1 0
3 4 132 1185 18 2 8 3000 3 5 2 2 2 12 4 1 34 2 0 1 1 1 0
3 10 46 107 40 1 2 4600 1 1 1 1 2 12 5 1 6 1 0 1 1 2 1
3 9 130 1511 81 1 2 2400 0 2 2 1 2 0 5 3 4 1 0 1 1 2 2
3 6 91 840 82 1 2 3300 0 3 1 1 2 0 5 3 6 1 0 1 1 1 0
3 3 26 493 29 1 2 3500 3 1 1 1 2 12 5 2 6 1 0 1 1 1 0
3 1 71 780 128 1 6 14000 0 1 1 1 2 0 5 1 31 2 0 2 2 1 1
3 4 159 230 38 1 2 4000 1 1 1 1 1 24 5 3 6 1 0 1 1 1 0
3 9 112 1022 25 2 2 2300 1 3 1 1 2 12 4 1 13 1 0 1 1 1 0
3 12 20 781 52 1 2 7800 1 2 1 1 2 36 5 3 4 1 0 1 1 2 1
3 9 65 75 140 1 2 3500 0 4 2 2 2 0 5 1 18 2 0 1 1 1 0
3 13 148 293 15 2 4 1580 3 3 1 2 2 24 4 3 16 1 2 2 2 2 0
3 16 21 1227 25 2 2 1800 1 2 2 1 2 24 4 3 2 0 1 0 0 0 2
3 4 121 688 52 1 2 3500 0 1 1 1 2 0 5 3 6 1 0 1 1 1 0
3 4 132 1185 30 2 2 2600 1 4 1 2 2 12 4 1 34 2 1 1 1 1 1
3 1 163 773 139 1 2 12162 1 2 2 2 2 12 5 1 27 1 0 1 1 1 0
3 10 46 380 55 1 6 5000 1 2 1 1 1 36 2 2 6 1 0 1 1 2 2
3 16 126 53 30 1 2 2600 0 1 0 1 2 0 5 1 13 2 0 1 1 2 2
3 9 130 860 56 1 2 1500 0 2 1 1 2 0 5 3 5 1 0 1 1 1 2
3 6 15 1225 96 1 2 3500 0 3 2 1 2 0 5 2 14 1 0 0 0 1 0
3 9 130 821 96 1 2 2800 0 2 2 1 2 0 5 3 5 1 0 1 1 1 0
3 10 68 414 12 2 2 3590 1 3 1 1 2 12 4 2 24 0 0 0 0 0 0
3 9 7 960 12 2 2 1600 3 5 0 5 2 12 4 1 11 0 2 0 0 0 0
3 11 23 1477 41 1 2 3800 0 1 0 1 1 0 5 1 6 1 0 1 1 1 0
3 6 53 96 9 2 2 1730 1 3 1 1 2 12 4 3 18 0 2 0 0 0 0
3 4 151 1178 28 2 2 2500 3 3 1 2 2 12 4 2 21 2 0 1 1 2 0
3 10 68 865 48 1 2 6700 0 2 0 1 2 0 4 2 6 1 0 1 1 2 2
3 16 140 241 118 1 2 6200 0 2 2 2 2 0 4 1 15 2 0 1 1 2 2
3 7 42 1432 20 2 4 2750 1 3 1 3 2 24 4 3 6 1 2 1 1 1 2
3 10 46 107 57 1 2 5800 0 2 1 1 2 0 4 3 6 1 0 1 1 2 1
3 10 3 1497 50 1 2 4300 1 1 1 1 2 24 4 3 6 1 2 1 1 2 0
3 10 68 1026 32 1 2 4900 0 1 1 1 2 0 4 1 7 2 0 1 1 1 0
3 9 153 1046 69 1 2 6800 0 2 1 1 2 0 4 1 25 2 0 1 1 1 0
3 13 148 504 58 1 2 4800 0 1 1 1 2 0 4 2 16 2 0 1 1 2 2
3 12 145 1036 31 1 2 5760 1 1 1 1 2 12 4 3 6 1 0 1 1 2 0
3 4 47 734 25 1 1 3100 3 1 1 1 2 12 4 2 4 2 2 1 1 2 0
3 9 62 1164 9 2 4 1890 3 3 1 1 1 12 4 3 6 0 0 0 0 0 0
3 16 140 1048 97 1 2 6200 0 2 2 1 2 0 4 2 14 2 0 1 1 2 2
3 16 140 735 60 1 2 4300 0 2 1 1 2 0 4 2 6 1 0 1 1 1 0
3 9 153 64 36 1 2 4600 0 1 1 1 2 0 4 1 6 1 0 1 1 1 0
3 16 56 606 15 2 6 1400 3 3 1 1 2 12 4 1 13 2 0 1 1 1 0
3 9 153 21 40 1 2 4100 0 1 0 1 2 0 4 3 6 1 0 1 1 1 0
3 9 116 1324 39 1 2 4500 0 1 1 1 2 0 4 3 6 1 0 1 1 1 0
3 16 21 1058 15 2 2 1050 3 3 1 1 2 12 4 2 18 0 0 0 0 0 0
3 16 99 727 53 1 2 3300 0 1 1 1 2 0 4 -2 6 1 0 1 1 1 0
3 9 153 202 40 1 2 4800 0 1 0 1 2 0 4 3 6 1 0 1 1 2 0
3 9 118 1429 51 1 2 4300 0 1 1 1 2 0 4 1 6 1 0 1 1 1 0
3 1 71 239 32 1 4 5160 1 1 1 1 2 12 4 3 7 1 0 1 1 2 0
3 10 46 380 54 1 2 5600 0 2 1 1 2 0 4 3 6 1 0 1 1 2 2
3 16 155 1267 87 1 2 5400 0 2 2 1 2 0 4 3 6 1 0 1 1 1 0
3 4 47 220 25 1 3 3300 3 1 1 1 2 24 4 3 6 1 0 1 1 1 0
3 3 26 1186 18 2 2 2800 1 2 1 1 2 0 4 3 6 1 2 1 1 1 0
3 10 3 1210 62 1 2 6800 0 1 1 1 2 0 4 2 22 2 0 1 1 2 0
3 16 99 347 76 1 2 4999 0 3 0 0 2 0 4 1 6 1 0 1 1 1 0
3 13 148 125 41 1 2 4200 0 1 1 1 2 0 4 2 15 2 0 1 1 2 0
3 16 10 1006 45 1 2 4500 0 1 1 1 2 0 4 3 6 1 0 1 1 1 0
3 16 99 562 104 1 2 6000 0 2 2 1 2 0 4 2 17 2 0 1 1 2 0
3 16 155 557 53 1 2 4200 0 2 1 1 2 0 4 3 6 1 0 1 1 2 0
3 2 103 1209 11 2 2 2560 1 3 1 2 2 12 4 2 22 2 0 1 1 2 0
3 10 3 624 19 2 2 2600 3 3 1 2 2 12 4 2 35 2 1 1 1 2 1
3 9 62 1182 18 2 2 2200 3 2 1 1 2 12 4 1 6 1 0 1 1 1 0
3 16 99 1323 54 1 2 3500 0 1 1 1 2 0 4 1 13 2 0 1 1 1 0
3 9 62 276 8 2 4 1890 1 3 1 1 2 12 4 3 6 2 0 1 1 2 0
