房源编号 城市 区 方位 房屋名 大小 租赁方式 朝向 月租 计费方式 几室 几厅 几卫 入住 租期 看房 所在楼层 总楼层 电梯 车位 用水 用电 燃气 供暖
SH2313801938375802880 上海 普陀 甘泉宜川 延长小区(普陀) 39 整租 南 3500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2306246710546415616 上海 奉贤 南桥 解放新村 46 整租 南 1800元/月 NULL 2室 0厅 1卫 2019-08-25 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2285450154243276800 上海 徐汇 徐家汇 文定路87号 30 整租 南 5500元/月 NULL 1室 0厅 1卫 随时入住 NULL 只能周末 低楼层 6层 无 NULL 民水 民电 有 NULL 
SH2294981850138935296 上海 闵行 梅陇 西班牙名园 12 合租 南 1680元/月 (月付价) 5室 1厅 2卫 随时入住 6~12个月 随时可 9 12层 有 NULL 民水 民电 有 NULL 
SH2312739183288131584 上海 闵行 浦江 浦秀苑 15 合租 北 1300元/月 (月付价) 4室 2厅 2卫 随时入住 1~2年 随时可 2 5层 无 租用车位 民水 民电 无 NULL 
SH2307309836704161792 上海 闸北 闸北公园 三阳小区 34 整租 南 4000元/月 (季付价) 1室 1厅 1卫 2019-08-05 NULL 需提前预约 低楼层 7层 无 NULL 民水 民电 无 NULL 
SH2295509850937376768 上海 静安 南京西路 升平小区 36 整租 南 7500元/月 (季付价) 1室 1厅 1卫 2019-08-07 3年以内 需提前预约 中楼层 4层 无 NULL 民水 民电 无 NULL 
SH2314912039346110464 上海 宝山 顾村 新顾村大家园B区 10 合租 南 1590元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 5 6层 无 NULL 民水 民电 有 NULL 
SH2247011178662871040 上海 青浦 徐泾 西郊家园(徐泾) 18 整租 南 1800元/月 (月付价) 1室 0厅 1卫 随时入住 1~12个月 随时可 1 3层 NULL NULL NULL NULL NULL NULL 
SH2282549576768421888 上海 普陀 长寿路 新天大厦 47 整租 北 4400元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 需提前预约 低楼层 10层 无 NULL 商水 商电 无 NULL 
SH2271720356479762432 上海 静安 静安寺 常熟路85弄 70 整租 南 9500元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2313625733525667840 上海 普陀 中远两湾城 中远两湾城 18 合租 南 3300元/月 (季付价) 4室 1厅 1卫 随时入住 1年以上 随时可 22 35层 有 NULL 民水 民电 无 NULL 
SH2295417603688513536 上海 浦东 康桥 达城锦园 73 整租 南 2800元/月 NULL 2室 2厅 1卫 随时入住 NULL 需提前预约 中楼层 14层 有 NULL 民水 民电 无 NULL 
SH2313591993538199552 上海 松江 九亭 三元公寓 12 合租 南 1200元/月 (月付价) 5室 1厅 2卫 随时入住 6~12个月 随时可 3 6层 NULL NULL NULL NULL NULL NULL 
SH2299767075905732608 上海 虹口 江湾镇 丰镇路16弄 36 整租 南 4300元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2310025667720519680 上海 静安 南京西路 王家沙花苑 61 整租 南 8000元/月 NULL 2室 1厅 1卫 2019-08-20 NULL 需提前预约 高楼层 7层 无 NULL 民水 民电 无 NULL 
SH2298967303343046656 上海 静安 静安寺 幸福老公寓 41 整租 南 7500元/月 (季付价) 1室 1厅 1卫 2019-08-21 3年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2298329799879294976 上海 青浦 徐泾 西郊一区 22 整租 西 1500元/月 (季付价) 1室 0厅 1卫 随时入住 1年 随时可 3 4层 NULL NULL NULL NULL NULL NULL 
SH2297956822906585088 上海 闸北 阳城 阳城贵都 20 合租 南 2800元/月 (月付价) 3室 1厅 1卫 随时入住 1年以上 随时可 6 12层 有 NULL 民水 民电 无 NULL 
SH2313548870187229184 上海 静安 江宁路 富容大厦 15 合租 南 3380元/月 (月付价) 5室 2厅 2卫 随时入住 1年以上 随时可 16 27层 有 租用车位 民水 民电 有 自采暖 
SH2304369637107695616 上海 徐汇 龙华 解龙小区 39 整租 南 5200元/月 (季付价) 1室 1厅 1卫 2019-08-06 2年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 有 自采暖 
SH2305586397978820608 上海 浦东 惠南 三八新村 93 整租 南 2500元/月 NULL 2室 2厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2312315520273629184 上海 青浦 重固 佳兆业君汇上品 80 整租 南 2800元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 14层 无 NULL NULL NULL NULL NULL 
SH2311518282706337792 上海 徐汇 斜土路 日晖二村 40 整租 南 6200元/月 (季付价) 1室 0厅 1卫 随时入住 1年以内 需提前预约 中楼层 5层 无 NULL 民水 民电 有 NULL 
SH2271732095322177536 上海 徐汇 龙华 东安五村 52 整租 南 6500元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 有 自采暖 
SH2314188990368464896 上海 浦东 外高桥 和龙路616弄 19 合租 南 1504元/月 (季付价) 5室 0厅 1卫 随时入住 1个月以上 随时可 1 6层 NULL NULL NULL NULL NULL NULL 
SH2310677936074145792 上海 徐汇 康健 康健路43弄 63 整租 南 6200元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2288979919478464512 上海 普陀 中远两湾城 中远两湾城 16 合租 南 2200元/月 (月付价) 4室 1厅 2卫 随时入住 1年 随时可 30 34层 有 NULL 民水 民电 无 NULL 
SH2313521983565856768 上海 浦东 周浦 汇腾南苑 90 整租 南 3300元/月 NULL 2室 1厅 1卫 2019-08-23 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2311389099938299904 上海 黄浦 人民广场 福海公寓 153 整租 南 14900元/月 (季付价) 3室 2厅 1卫 2019-08-15 3年以内 需提前预约 中楼层 32层 有 NULL 民水 民电 无 NULL 
SH2265001745161920512 上海 静安 江宁路 静安晶华园 59 整租 南 8800元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 需提前预约 低楼层 31层 有 NULL 民水 民电 有 自采暖 
SH2314520329864880128 上海 闸北 大宁 粤秀苑 41 整租 南 3600元/月 (季付价) 1室 1厅 1卫 2019-08-16 2年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2309245526237265920 上海 徐汇 万体馆 金谷园 56 整租 南 6000元/月 (季付价) 1室 1厅 1卫 2019-09-01 2年以内 只能周末 低楼层 18层 有 NULL 民水 民电 有 自采暖 
SH2313616845669933056 上海 浦东 川沙 妙境一村 40 整租 南 2800元/月 NULL 1室 2厅 1卫 随时入住 NULL 需提前预约 低楼层 5层 无 NULL 民水 民电 无 NULL 
SH2278905761252261888 上海 青浦 白鹤 陆家角馨苑 16 整租 西 1200元/月 (月付价) 1室 0厅 1卫 随时入住 8~12个月 随时可 2 3层 NULL NULL NULL NULL NULL NULL 
SH2289763661503807488 上海 青浦 华新 徐泾北城馨浦苑 18 合租 南 1600元/月 (季付价) 3室 1厅 1卫 随时入住 1年 随时可 10 18层 无 NULL NULL NULL NULL NULL 
SH2290556239375245312 上海 徐汇 徐家汇 南丹大楼 58 整租 南 7000元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 低楼层 23层 有 NULL 民水 民电 无 NULL 
SH2295588800489070592 上海 普陀 曹杨 曹杨七村 34 整租 南 4000元/月 NULL 1室 1厅 1卫 2019-08-05 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2313592577242169344 上海 浦东 金桥 碧云公馆 35 整租 南 3000元/月 (月付价) 1室 1厅 1卫 随时入住 6~24个月 随时可 11 26层 无 租用车位 商水 商电 无 集中供暖 
SH2299753499355267072 上海 浦东 高东 杨园四村 65 整租 南 3500元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2305017878677553152 上海 徐汇 华东理工 梅陇九村 64 整租 南 4800元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2306469321561612288 上海 青浦 夏阳 城东新村 52 整租 南 2500元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2312824046103822336 上海 普陀 中远两湾城 中远两湾城 28 合租 东南 2900元/月 (月付价) 4室 1厅 2卫 随时入住 6~12个月 随时可 33 34层 有 NULL 民水 民电 无 NULL 
SH2295636243762905088 上海 静安 江宁路 东海园 72 整租 南 9500元/月 (季付价) 1室 2厅 1卫 随时入住 1年以内 需提前预约 低楼层 34层 有 NULL 民水 民电 有 自采暖 
SH2295415812074512384 上海 徐汇 漕河泾 华悦家园 28 合租 南 3000元/月 (月付价) 3室 0厅 3卫 随时入住 1年 随时可 17 25层 有 NULL 民水 民电 有 NULL 
SH2245490860726681600 上海 青浦 盈浦 东渡悦来城 98 整租 南 3000元/月 NULL 3室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 27层 无 NULL 民水 民电 NULL NULL 
SH2312868537770975232 上海 静安 曹家渡 瀚林世家 15 合租 南 4200元/月 (月付价) 4室 2厅 2卫 随时入住 1年 随时可 26 30层 NULL 租用车位 民水 民电 有 NULL 
SH2162288522835533824 上海 浦东 新场 中洲里程 118 整租 南/北 2400元/月 NULL 3室 2厅 2卫 随时入住 NULL 需提前预约 高楼层 16层 有 NULL 民水 民电 无 NULL 
SH2280357307844141056 上海 徐汇 上海南站 汇成四村 54 整租 南 4600元/月 NULL 2室 0厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2311345543030784000 上海 奉贤 南桥 解放新村 53 整租 南 1700元/月 NULL 2室 1厅 1卫 随时入住 NULL 一般下班后可 高楼层 5层 无 NULL 民水 民电 有 NULL 
SH2293932134966239232 上海 普陀 武宁 武宁一村 39 整租 南 4200元/月 (季付价) 1室 0厅 1卫 随时入住 1年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 有 NULL 
SH2290009369569394688 上海 闵行 浦江 浦江世博家园四街坊 15 合租 南 1200元/月 (月付价) 3室 1厅 1卫 随时入住 1年 随时可 6 6层 无 NULL 民水 民电 无 NULL 
SH2310641539623698432 上海 徐汇 斜土路 茶陵路345弄 41 整租 南 5500元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 7层 无 NULL 民水 民电 有 NULL 
SH2289751069179789312 上海 闵行 吴泾 氯碱小区 39 整租 南 2200元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 有 自采暖 
SH2315327668398604288 上海 闵行 浦江 浦恒馨苑 8 合租 北 1530元/月 (季付价) 3室 1厅 2卫 随时入住 1年 随时可 15 18层 有 NULL 民水 民电 有 NULL 
SH2315151355134099456 上海 闵行 浦江 浦恒馨苑 18 合租 南 1700元/月 (月付价) 3室 1厅 1卫 随时入住 1年以上 随时可 7 17层 无 NULL 民水 民电 无 NULL 
SH2313537025749827584 上海 普陀 桃浦 桃浦二村永汇新苑 89 整租 南 4500元/月 (季付价) 2室 2厅 1卫 随时入住 NULL 需提前预约 低楼层 5层 无 NULL 民水 民电 无 NULL 
SH2312344332818464768 上海 浦东 惠南 惠康苑西苑 79 整租 南 2500元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 14层 有 NULL 民水 民电 有 自采暖 
SH2310591470295318528 上海 闵行 莘庄 中祥哥德堡 18 合租 北 1800元/月 (月付价) 5室 0厅 2卫 随时入住 1年 随时可 3 12层 有 租用车位 民水 民电 有 NULL 
SH2275980087973117952 上海 奉贤 南桥 金昊雅苑 15 合租 南 1100元/月 (月付价) 4室 1厅 2卫 随时入住 3~12个月 随时可 13 20层 NULL NULL NULL NULL NULL NULL 
SH2307809821313220608 上海 浦东 周浦 印象春城 64 整租 南/北 3800元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 需提前预约 高楼层 16层 有 NULL 民水 民电 有 自采暖 
SH2204738630700761088 上海 徐汇 斜土路 泰莱大厦 54 整租 南 6900元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 高楼层 23层 有 NULL 民水 民电 有 自采暖 
SH2299775187488882688 上海 徐汇 康健 寿益坊 66 整租 东南/南 6000元/月 (季付价) 2室 1厅 1卫 随时入住 3年以内 只能周末 低楼层 6层 无 NULL 民水 民电 有 自采暖 
SH1919396570143662080 上海 青浦 朱家角 绿地朱家角1号 140 整租 向暂无 3000元/月 NULL 4室 2厅 3卫 NULL NULL NULL 高楼层 4层 无 NULL 民水 民电 无 NULL 
SH2314308222686593024 上海 浦东 潍坊 潍坊一村 35 整租 南 3800元/月 NULL 1室 0厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2306605676664717312 上海 闸北 大宁 宁祥公寓 18 合租 东南 2600元/月 (月付价) 4室 1厅 1卫 随时入住 1年 随时可 13 16层 有 NULL 民水 民电 有 NULL 
SH2297843800691195904 上海 静安 南京西路 骏豪国际 51 整租 东 7500元/月 (季付价) 1室 1厅 1卫 随时入住 1年以内 需提前预约 中楼层 29层 有 NULL 民水 民电 无 集中供暖 
SH2240537674660724736 上海 松江 九亭 上海青年城 14 合租 北 1580元/月 (月付价) 3室 1厅 1卫 随时入住 3~24个月 随时可 9 15层 无 NULL 商水 商电 无 NULL 
SH2302218305513472000 上海 徐汇 康健 漕泾一村 34 整租 南 4700元/月 (季付价) 1室 1厅 1卫 随时入住 2年以内 需提前预约 中楼层 6层 无 NULL 民水 民电 有 自采暖 
SH2314238747136229376 上海 长宁 镇宁路 兴国大厦 12 合租 南 3600元/月 (月付价) 5室 1厅 2卫 随时入住 1年 随时可 19 28层 NULL NULL NULL NULL NULL NULL 
SH2309172785454522368 上海 普陀 甘泉宜川 新泉大厦 12 合租 南 2050元/月 (月付价) 5室 1厅 1卫 随时入住 1年 随时可 8 28层 NULL NULL NULL NULL NULL NULL 
SH2252764182372163584 上海 宝山 上大 金地艺境(商业类) 48 整租 西 1900元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 3层 无 NULL 商水 商电 无 NULL 
SH2269302407567777792 上海 徐汇 康健 健安坊 64 整租 南 5500元/月 (季付价) 2室 1厅 1卫 随时入住 2年以内 需提前预约 高楼层 4层 无 NULL 民水 民电 有 自采暖 
SH2313549927797489664 上海 虹口 凉城 春满园 12 合租 南 2400元/月 (月付价) 4室 1厅 1卫 随时入住 1年以上 随时可 3 23层 NULL NULL NULL NULL NULL NULL 
SH2313747860006371328 上海 徐汇 徐家汇 零陵小区 47 整租 南 5000元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 5层 无 NULL 民水 民电 无 NULL 
SH2314927702244859904 上海 嘉定 菊园新区 万科悦城 7 合租 北 1290元/月 (季付价) 4室 1厅 3卫 随时入住 1年 随时可 7 11层 无 NULL 民水 民电 有 NULL 
SH2283208012862586880 上海 黄浦 五里桥 江南新苑 142 整租 南 13000元/月 (季付价) 3室 2厅 2卫 随时入住 1年以内 需提前预约 中楼层 30层 有 NULL 民水 民电 无 NULL 
SH2300686651573141504 上海 普陀 中远两湾城 中远两湾城 23 合租 南 3200元/月 (月付价) 4室 2厅 2卫 随时入住 6~12个月 随时可 15 34层 有 NULL 民水 民电 无 NULL 
SH2301171346610331648 上海 虹口 江湾镇 红馥里 77 整租 南 4000元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 35层 无 NULL NULL NULL NULL NULL 
SH2312434929105117184 上海 静安 曹家渡 君悦静安 46 整租 北 7000元/月 (月付价) 1室 1厅 1卫 随时入住 7~24个月 随时可 7 22层 有 租用车位 民水 民电 有 自采暖 
SH2270944568826396672 上海 徐汇 华东理工 和平小区(徐汇) 75 整租 南 4900元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 低楼层 6层 无 NULL 民水 民电 无 NULL 
SH2294922746758701056 上海 普陀 真光 真光七街坊 36 整租 南 3700元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 6层 无 NULL 民水 民电 无 NULL 
SH2314592922126778368 上海 闵行 华漕 爱博七村 7 合租 北 1790元/月 (季付价) 4室 1厅 2卫 随时入住 1年 随时可 1 13层 有 租用车位 民水 民电 有 NULL 
SH2273144736909377536 上海 嘉定 安亭 新虹桥时代公馆 55 整租 南 2000元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 29层 无 NULL 商水 商电 无 NULL 
SH2304269202535481344 上海 闵行 浦江 闵浦一村 15 合租 南 1050元/月 (月付价) 2室 1厅 1卫 随时入住 3~12个月 随时可 3 6层 无 NULL 民水 民电 无 NULL 
SH2297744771990691840 上海 黄浦 打浦桥 大同花园北区 67 整租 南 10000元/月 (季付价) 1室 2厅 1卫 随时入住 2年以内 需提前预约 低楼层 32层 有 NULL 民水 民电 无 NULL 
SH2196844068409966592 上海 青浦 香花桥 民惠佳苑 74 整租 南 2500元/月 NULL 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2302012864090873856 上海 闵行 浦江 闵浦一村 18 合租 南 1020元/月 (月付价) 2室 1厅 1卫 随时入住 3~24个月 随时可 3 5层 无 NULL 民水 民电 无 NULL 
SH2310718260809056256 上海 黄浦 打浦桥 建国大厦 136 整租 南 10000元/月 NULL 3室 2厅 2卫 随时入住 NULL 需提前预约 低楼层 24层 有 NULL 商水 商电 无 自采暖 
SH2309391866292084736 上海 徐汇 徐家汇 实业公寓 10 合租 南 2980元/月 (月付价) 5室 2厅 2卫 随时入住 6~12个月 随时可 16 30层 有 租用车位 民水 民电 有 NULL 
SH2197775767771807744 上海 黄浦 蓬莱公园 中福浦江汇 68 整租 南 10000元/月 (季付价) 2室 1厅 1卫 随时入住 NULL 需提前预约 高楼层 32层 有 NULL 民水 民电 有 NULL 
SH2298491301152702464 上海 虹口 江湾镇 红馥里 56 整租 南 3100元/月 NULL 1室 1厅 1卫 随时入住 NULL 需提前预约 中楼层 30层 无 NULL NULL NULL NULL NULL 
SH2310838821060878336 上海 徐汇 植物园 华沁家园 90 整租 南 6600元/月 NULL 2室 2厅 1卫 2019-08-05 NULL 需提前预约 高楼层 35层 有 NULL 民水 民电 无 NULL 
SH2313053588081360896 上海 青浦 盈浦 万寿新村(青浦) 94 整租 南/北 2800元/月 NULL 3室 2厅 1卫 2019-08-31 NULL 需提前预约 高楼层 6层 无 NULL 民水 民电 无 NULL 
SH2302884685527138304 上海 徐汇 万体馆 漕溪一村 62 整租 南 6300元/月 (季付价) 2室 1厅 1卫 随时入住 1年以内 需提前预约 低楼层 6层 无 NULL 民水 民电 有 自采暖 
SH2307875976711258112 上海 静安 曹家渡 君悦静安 40 整租 南 6000元/月 (月付价) 1室 1厅 1卫 随时入住 1年以上 随时可 12 22层 有 租用车位 民水 民电 有 自采暖 
SH2294709756847734784 上海 徐汇 斜土路 轻工大木桥小区 60 整租 南 6100元/月 (季付价) 2室 0厅 1卫 随时入住 1年以内 需提前预约 高楼层 7层 无 NULL 民水 民电 无 NULL 
SH2294178575878209536 上海 闵行 浦江 滨浦新苑二村 26 整租 东南/南 1560元/月 (月付价) 1室 1厅 1卫 随时入住 1~12个月 随时可 4 22层 无 NULL 民水 民电 无 NULL 
